,CtrlFemaleFB1,CtrlFemaleFB2,CtrlFemaleFB3,NitoKDFemaleFB1,NitoKDFemaleFB2,NitoKDFemaleFB3,CtrlMaleFB1,CtrlMaleFB2,CtrlMaleFB3,NitoKDMaleFB1,NitoKDMaleFB2,NitoKDMaleFB3
Akap200,18213.42615,26387.21176,11728.13218,40881.84445,34476.88725,37726.43328,25204.43988,22189.96926,13938.21167,50659.79448,47522.30932,47902.43464
CG31897,50.46223478,43.75988683,36.69683019,57.50383548,61.43036195,30.75106639,142.747869,136.9602867,146.061382,60.7218492,76.35841728,116.3022619
CheA29a,2.293737945,2.24409676,13.97974484,0,0,0,3.021118921,0,1.521472729,0,0,0
tRNA:Asp-GTC-1-2,0,0,0,0,0,0,0,0,0,0,0,0
CG13088,298.1859328,381.4964493,413.2762067,270.6062846,366.7753963,310.0732527,1894.996843,1831.743718,2041.816402,1562.476851,1772.091571,1570.080535
PIG-U,1517.30765,1407.048669,1529.034591,1823.209843,1862.785387,2134.636525,1756.780653,1766.066855,1771.754993,2117.859618,2018.455521,1987.711384
Uba4,1804.024893,1751.517521,2070.749704,1933.143646,1902.534445,1837.376217,1521.888657,1764.46498,1999.215166,1851.27589,1890.231009,1714.577285
Sgp,0,0,0,6.765157115,1.806775351,0,4.531678382,4.805624096,16.73620002,17.77224855,2.881449709,0
Acer,8504.033429,7187.841924,14361.56662,6294.978696,8052.797741,7057.369736,4918.381604,6546.861893,10280.59123,3470.031528,3214.25715,4012.428034
CG17834,1368.214684,958.2293167,1045.85966,1359.79658,1053.35003,1027.598135,1447.115963,921.0779517,826.1596919,1285.525978,991.2186998,969.1855155
tRNA:Asp-GTC-1-5,0,0,0,0,0,0,0,0,0,0,0,0
Sema1a,193.8208563,200.8466601,188.7265553,236.780499,215.0062668,358.7624412,250.7528705,264.3093253,457.2025551,549.4586842,782.3135959,669.6190834
tRNA:Phe-GAA-1-3,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Asp-GTC-1-6,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Asp-GTC-1-4,0,0,0,0,0,0,0,0,0,0,0,0
mRpL51,1882.011983,2313.66376,2804.686308,1204.197967,1454.454158,1445.30012,1432.010369,1763.664043,1566.356175,1245.538419,1285.12657,1388.57852
CG13097,2393.515545,2063.446971,3428.532421,559.8167513,798.5947053,697.0241714,1571.737119,1841.354966,2228.196812,685.7125897,580.6121163,697.8135711
CG13096,5538.230267,5734.789271,8475.220306,2017.70811,2668.607194,2173.075358,4310.381421,5387.104611,6537.00758,2236.341275,2528.472119,2884.648525
Dh31,51.60910375,54.98037063,30.58069183,23.6780499,21.68130422,15.37553319,44.56150409,36.84311807,64.66259099,35.54449709,57.62899417,21.14586579
Bace,165.149132,24.68506436,4.368670261,0,3.613550703,0,30.96646895,105.7237301,19.01840911,1.481020712,23.05159767,24.67017676
tRNA:Asp-GTC-1-3,0,0,0,0,0,0,0,0,0,0,0,0
Agpat2,2674.498443,1885.041279,2839.63567,1346.266266,1756.185641,1711.809362,4241.650966,3327.894686,3294.749195,1606.907473,2364.229486,1541.886047
D12,329.151395,309.6853529,334.640142,231.7066312,265.5959766,230.6329979,357.2473125,281.9299469,362.1105095,271.0267903,203.1422045,169.1669263
grk,106.6588144,90.8859188,91.74207548,82.87317466,95.75909362,94.81578802,134.439792,95.31154456,125.5215001,114.0385948,85.0027664,89.86992962
CG13398,1180.128172,1196.103573,1154.202683,1412.226548,1423.738977,1173.6657,1014.340678,1025.199807,989.7180103,1196.664735,896.1308594,844.0724762
CG13397,4167.721845,4416.382424,4553.90188,6269.609357,6726.624633,5686.384693,2977.312697,3546.550583,3457.546777,3881.755286,4070.047713,3802.731532
fy,238.5487462,224.409676,243.7718006,260.4585489,227.6536943,199.8819315,252.2634299,271.5177614,318.7485367,256.2165832,171.4462577,267.8476334
Peritrophin-15a,30491.80537,8832.764849,18818.48402,6592.645609,3169.083966,2770.158564,5573.20913,15152.13277,1638.626129,71.08899418,7583.975633,4304.945844
Peritrophin-15b,0,0,0,0,0,0,0,0,0,0,0,0
lectin-29Ca,0,0,4.368670261,0,0,0,0,1.601874699,1.521472729,0,0,0
Acp29AB,0,0,0,0,0,0,0,4.805624096,3.042945458,0,0,0
CG13392,469.0694097,447.6973037,635.204656,394.070402,458.9209392,445.8904626,407.8510544,466.9464746,522.6258824,389.5084473,406.2844089,389.4363617
CG13390,678.9464316,685.5715603,847.5220306,432.9700554,451.6938378,384.3883298,578.5442735,650.3611276,544.687237,507.9901042,401.9622344,400.0092946
Glt,133411.8269,131755.409,137176.2462,139238.7725,139909.4561,129000.7235,161989.3755,158427.8105,138635.0736,217105.7882,171694.0623,193449.4289
tRNA:Asp-GTC-1-7,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Asp-GTC-1-8,0,0,0,0,0,0,0,0,0,0,0,0
CG9314,4.587475889,4.488193521,3.494936209,13.53031423,18.06775351,15.37553319,4208.418658,3839.693652,4882.405988,2984.256735,4876.853632,3194.78789
CG12438,0,0,0,0,0,0,390.4796206,345.2039975,377.3252368,229.5582104,393.3178852,368.2904959
SoxN,361.2637263,343.3468043,425.5084834,345.0230129,317.9924618,358.7624412,235.6472759,460.5389758,563.7056461,119.9626777,175.7684322,1603.561489
CG32986,0,0,0,0,0,0,0,0,0,0,0,0
CG32987,0,0,0,0,0,0,0,0,0,0,0,0
CG32988,0,0,0,0,0,0,0,0,0,0,0,0
CG32983,0,0,0,0,0,0,0,0,0,0,0,0
CG9483,0,0,0,0,0,0,6.797517573,4.805624096,9.128836374,11.8481657,8.644349126,3.524310965
LManVI,20691.81,13953.79366,43.68670261,1351.340134,12553.47514,1096.788034,869.3269697,99.31623131,1637.865393,1633.565845,930.7082559,764.7754795
LManV,13107.56548,5760.596384,3.494936209,57.50383548,11364.61696,15.37553319,206.1913664,134.5574747,2110.282675,192.5326926,59.06971903,95.15639607
LManIV,225.9331875,26.92916112,0,3.382578558,216.8130422,0,3.021118921,8.009373493,9.128836374,0,0,0
LManIII,2617.154995,497.0674324,0,16.91289279,2247.628537,0,43.80622436,52.86186505,381.889655,19.25326926,20.17014796,0
raw,2930.250224,2297.955083,2770.61068,2071.829367,1541.179375,2383.207645,2874.594654,2060.010862,3292.466986,2525.140314,4023.944518,2077.581314
Hnf4,5285.919093,4699.138616,5501.903327,6063.272065,7030.162892,6552.539729,4139.688202,4397.946985,3452.982359,5128.774726,3876.990583,5108.488744
PrBP,1700.806686,1941.143698,1971.144022,2105.655152,1967.578358,2306.329979,1653.30733,1858.17465,1506.258002,2070.466955,1908.960432,2163.926933
CG9289,29.81859328,30.29530627,18.3484151,55.8125462,39.74905773,35.87624412,101.2074839,56.8665518,54.77301825,88.86124273,103.7321895,91.6320851
tRNA:Asp-GTC-1-9,0,0,0,0,0,0,0,0,0,0,0,0
CG9287,0,2.24409676,1.747468104,0,0,0,4.531678382,3.203749397,6.085890916,7.40510356,2.881449709,3.524310965
Tsp29Fa,814.2769703,438.7209167,310.1755885,253.6933918,328.8331139,176.8186317,382.9268233,397.2649252,184.8589366,162.9122783,286.704246,192.0749476
Tsp29Fb,15207.48257,9457.745797,10132.6938,6704.270701,8491.844151,7595.513397,8724.236165,8621.289628,7659.854454,8078.967984,7585.416358,7580.792887
CG32985,3.440606917,0,2.621202157,0,0,15.37553319,1.510559461,1.601874699,3.042945458,5.924082848,5.762899417,5.286466448
CG32984,29.81859328,23.56301598,62.03511771,0,7.227101405,0,7.552797304,19.22249638,34.2331364,10.36714498,0,17.62155483
CG18088,235.1081393,221.0435309,349.4936209,27.06062846,57.81681124,15.37553319,113.2919596,167.395906,199.3129275,26.65837282,44.66247048,10.5729329
CG18662,0,0,1.747468104,0,0,5.125177731,3263.563715,2769.641354,2601.718367,2816.901394,4692.44085,2204.456509
CG9555,84.86830395,47.12603197,62.03511771,6.765157115,39.74905773,20.50071092,24.9242311,29.63468192,19.01840911,16.29122783,18.72942311,14.09724386
CG17906,0,0,0,0,0,0,0,0,0,0,0,0
CG18661,129.5961939,159.33087,134.555044,130.2292745,220.4265929,266.509242,260.571507,236.276518,284.5154003,302.1282253,301.1114945,341.8581636
Try29F,32.11233122,29.17325789,22.71708536,16.91289279,10.84065211,20.50071092,46.82734328,36.04218072,119.4356092,32.58245567,83.56204155,7.048621931
CG9568,3153.889674,1908.604295,698.1135077,367.0097735,1103.93974,663.7105162,658.6039249,640.7498794,527.951037,340.6347638,998.422324,313.6636759
CG13102,941.5794262,566.634432,290.0797053,164.05506,220.4265929,169.1308651,287.7615773,311.5646289,199.3129275,115.5196155,265.0933732,139.2102831
CG12439,0,0,0,0,0,0,155.5876245,157.7846578,167.3620002,208.8239204,139.7503109,162.1183044
Toll-4,17.20303458,26.92916112,17.47468104,27.06062846,14.45420281,10.25035546,34.7428676,35.24124337,61.61964553,45.91164207,31.69594679,24.67017676
CG31609,0,0,0,0,0,0,456.9442369,428.5014819,453.3988733,445.7872343,525.8645718,826.4509214
Or30a,0,0,0,0,0,0,12.08447569,8.009373493,4.564418187,0,0,0
CG32982,517.2379065,378.1303041,366.0945679,925.1352355,626.9510469,650.8975718,743.1952547,489.3727204,556.8590188,462.0784622,854.3498386,410.5822275
CG13108,11.46868972,42.63783845,13.97974484,160.6724815,90.33876757,128.1294433,24.9242311,12.81499759,23.5828273,88.86124273,121.0208878,84.58346317
CG9586,5056.545299,5707.86011,5757.03367,11850.86398,12286.07239,12156.92158,5052.821396,5170.05059,4179.485587,12083.64799,13261.87228,11055.7635
DIP-zeta,0,15.70867732,8.737340522,3.382578558,1.806775351,0,0,0,10.6503091,0,11.52579883,19.38371031
CG9582,0,0,0,0,0,0,326.2808435,272.3186988,291.3620276,241.4063761,337.1296159,311.9015204
Rcd-1r,0,0,0,0,0,0,0,0,0,0,0,0
alien,5174.672803,5624.82853,5080.763514,7490.720216,7393.324738,7928.64995,5175.176712,5187.671211,4463.240251,7181.469433,7478.802719,6900.60087
rost,571.1407482,537.4611741,494.5334736,979.2564924,952.1706102,960.9708246,638.2113722,566.2627059,597.9387825,586.484202,548.9161695,607.9436415
CG13101,450.7195061,243.4844985,347.7461528,497.239048,354.1279689,435.6401071,395.7665787,223.4615204,244.196373,528.7243942,364.5033881,340.0960082
CG9541,13.76242767,6.732290281,8.737340522,3.382578558,12.64742746,0,43.05094463,43.25061686,60.0981728,47.39266279,28.81449709,17.62155483
CG9525,0,2.24409676,3.494936209,0,0,0,3.021118921,3.203749397,0,0,5.762899417,0
CG31886,747.7585699,323.1499335,588.0230171,179.2766636,160.8030063,153.7553319,413.1380125,346.0049349,470.8958096,216.229024,144.0724854,172.6912373
C1GalTA,772.9896873,658.6423992,389.6853873,1085.807717,1020.828074,927.6571693,770.385325,644.7545662,393.3007005,1069.296954,785.1950456,1101.347177
tai,6701.155405,5850.360254,6331.076942,8755.804597,8620.125201,7672.391063,5628.344551,5270.968696,5262.013433,7104.456356,6228.253545,7224.837479
CG17005,2.293737945,0,0,0,0,0,761.3219682,718.4408023,785.0799282,457.6354,584.9342908,600.8950196
Cks30A,294.7453259,467.8941745,311.0493226,273.9888632,336.0602153,310.0732527,465.2523139,625.5320698,562.9449098,374.6982402,422.1323823,459.922581
Eaat1,9935.325907,11667.05906,10230.55202,11544.74062,16044.16512,12723.25372,12354.11055,10742.97267,7706.259373,12015.52104,8227.979643,8646.896954
CG3748,0,0,0,0,3.613550703,0,399.5429774,340.3983734,340.0491549,210.3049411,429.3360066,310.139365
CG13110,0,0,0,0,0,0,719.0263033,670.3845613,521.8651461,590.9272641,631.0374862,826.4509214
Aldh,93731.30737,83318.82452,120892.4647,65623.71531,82813.54823,70888.89579,70943.42507,80213.07459,88631.87236,49060.29211,52007.28579,51814.41981
Mco1,537.881548,281.6341434,384.442983,224.9414741,254.7553245,202.4445204,293.8038151,378.8433662,339.2884186,158.4692162,112.3765386,163.8804599
scat,4507.195061,3632.070607,4413.230698,3490.821072,3479.849327,3221.174204,3807.365121,3589.801199,3773.252368,2990.180818,2943.400877,3193.025735
CG3769,0,4.488193521,6.116138365,10.14773567,0,5.125177731,6.042237843,16.01874699,15.21472729,14.81020712,17.28869825,0
CG4438,0,0,0,0,0,0,1561.918482,1690.778744,1624.932875,1483.982754,2505.420522,1721.625907
borr,262.6329946,510.532013,320.6603972,307.8146487,216.8130422,271.6344197,799.0859547,866.6142119,955.4848739,507.9901042,848.5869392,701.3378821
aust,0,0,1.747468104,3.382578558,0,0,368.5765084,381.2461783,451.1166642,325.8245567,334.2481662,354.193252
tRNA:Thr-AGT-1-1,0,0,0,0,0,0,0,0,0,0,0,0
numb,2407.277973,2296.833034,2364.324345,1371.635605,1479.749013,1109.600979,2135.931077,2534.96671,3271.166367,1415.855801,1629.45981,1311.043679
Oatp30B,6690.833584,6063.549447,6220.112718,7392.625438,7731.191728,7057.369736,7553.552583,6494.800965,7273.400381,7612.44646,7522.024464,5986.042175
CG31883,5.734344861,0,5.242404313,15.22160351,41.55583308,41.00142185,3.021118921,3.203749397,6.085890916,48.8736835,40.34029592,51.102509
CG17855,792.4864598,616.0045607,385.316717,586.8773798,410.1380048,410.0142185,557.396441,435.709918,260.1718367,386.5464059,381.7920864,426.4416268
Cpr30B,0,0,3.494936209,3.382578558,3.613550703,10.25035546,1.510559461,3.203749397,3.042945458,0,0,0
CG13113,0,0,0,0,0,0,0,0,0,0,0,0
CG13114,0,0,0,0,0,0,0,0,0,0,0,0
CG3841,956.4887229,289.4884821,146.7873208,20.29547135,90.33876757,0,549.8436437,346.0049349,507.4111551,302.1282253,315.5187431,407.0579165
gcm2,6.881213834,2.24409676,0,3.382578558,0,0,10.57391623,11.21312289,13.69325456,2.962041424,14.40724854,7.048621931
Trx-2,14098.46028,15060.13336,19344.47192,14883.34565,15465.99701,17376.9151,9228.763025,10885.53951,10658.6772,10598.18422,11361.5562,10620.51109
GlcAT-S,504.6223478,380.3744009,468.321452,857.4836644,814.8556835,996.8470687,1536.238972,1460.108788,2047.902293,1167.044321,1449.369203,1044.958201
Apoltp,100634.3117,66093.13779,131119.5217,6442.120863,8522.559332,6337.282264,44884.00854,57029.14208,106329.6431,4020.971233,3457.73965,3695.240047
CG33299,17.20303458,11.2204838,13.97974484,0,0,0,6.042237843,4.805624096,7.607363645,0,0,0
pelo,3938.348051,3758.862074,4884.173352,2971.595263,3461.781573,3369.804358,3703.136518,3749.988669,4474.651296,2893.914471,2678.307504,2782.443507
CG4364,14489.5426,14343.14444,18794.01946,9875.438099,10676.23555,10785.93653,11014.99959,12060.51461,11853.0333,9474.089495,9047.752085,8981.706495
CG31710,957.6355918,759.6267534,707.7245823,969.1087568,578.1681124,530.4558952,738.6635763,651.9630023,486.1105369,598.3323677,940.7933299,750.6782356
Pka-C1,10232.36497,7695.007791,8519.780743,10609.45765,12134.30326,11129.32344,7817.900489,8557.21464,8144.443519,9567.3938,6710.896371,9342.948369
CG31882,9.174951778,7.854338661,0,0,7.227101405,0,906.3356764,715.2370529,782.0369827,694.598714,848.5869392,660.808306
CG4382,34.40606917,107.7166445,15.72721294,40.59094269,7.227101405,79.44025483,43.80622436,34.44030602,1.521472729,75.53205632,2.881449709,14.09724386
gcm,4.587475889,15.70867732,9.611074574,16.91289279,3.613550703,10.25035546,18.12671353,25.62999518,41.07976368,38.50653851,31.69594679,42.29173158
CG31709,0,0,0,0,0,20.50071092,6234.834174,5604.95957,6441.154799,4771.848734,7401.003577,6558.742707
Mtpalpha,33725.97587,35193.04744,35202.74496,47827.96952,54306.24673,46357.23258,27916.64939,30490.08301,25428.37372,37290.62051,36147.78659,31912.63579
jp,5.734344861,16.8307257,12.23227673,8.456446394,3.613550703,30.75106639,18.12671353,12.81499759,6.085890916,5.924082848,14.40724854,31.71879869
Gdi,48213.22472,51037.49262,40627.75969,78465.6748,81084.46422,75698.87509,40531.33145,42536.18075,26774.87709,69864.19005,74661.2434,61805.8414
CG13116,59.63718656,84.15362851,10.48480863,1234.641174,843.7640891,1406.861287,169.9379393,72.88529878,9.128836374,907.8656965,507.1351487,1187.692795
CG13117,1006.950958,1079.410542,728.6941995,734.019547,659.4730032,773.9018374,564.1939586,663.1761252,437.4234096,636.8389062,1005.625948,777.1105679
CG4017,8.028082806,2.24409676,0,3.382578558,0,0,3.021118921,6.407498794,4.564418187,0,8.644349126,7.048621931
CG17633,10369.98925,7073.392989,12.23227673,33.82578558,83.11166616,279.3221863,1291.528339,10340.90212,3638.602032,4475.644592,17471.67031,84.58346317
IP3K1,1893.480673,1376.753362,1510.686176,2171.615434,2359.648609,2285.829268,1269.625227,1232.642581,826.9204282,2168.214322,2076.084515,2014.143717
CG4036,1144.575234,1331.871427,1543.014336,723.8718113,684.7678582,830.2787924,876.879767,1033.209181,953.9634011,787.9030188,950.8784038,768.2997905
CG4709,642.2466245,616.0045607,636.9521241,710.3414971,728.1304666,632.9594498,577.033714,579.0777035,565.2271188,610.1805334,521.5423973,516.3115564
CG4658,3429.138227,2897.128918,2414.127186,5445.951478,4997.540622,4269.27305,3734.102987,3287.847819,2149.08023,5263.547611,4330.818912,4347.237576
CG5850,3158.47715,3253.940303,3115.73563,4400.734704,4544.040009,4556.283003,3322.475534,3205.351272,2989.693913,3739.577298,3715.629399,3157.782625
CG5846,540.1752859,626.1029961,487.5436011,899.7658963,722.7101405,714.9622935,691.836233,571.06833,480.7853824,850.1058887,838.5018652,963.899049
CG13126,806.2488875,712.5007214,1048.480863,475.2522874,532.9987286,486.8918844,602.7132248,664.7779999,765.3007827,385.0653851,433.6581811,449.3496481
Uhg2,829.1862669,953.7411232,1675.821912,184.3505314,196.9385133,228.070409,415.4038517,594.2955132,563.7056461,229.5582104,445.18398,195.5992586
snoRNA:Me18S-A1576,13.76242767,31.41735465,19.22214915,5.073867837,3.613550703,15.37553319,4.531678382,4.004686746,3.042945458,4.443062136,1.440724854,14.09724386
snoRNA:Me18S-G1620,2.293737945,0,0.873734052,0,0,20.50071092,0.75527973,0,5.325154552,0,8.644349126,0
snoRNA:U14:30Ea,3.440606917,14.58662894,11.35854268,0,0,0,0,0,1.521472729,0,0,0
snoRNA:U14:30Eb,4.587475889,8.976387042,24.46455346,0,0,0,5.286958113,8.009373493,8.36810001,0,2.881449709,0
CG13123,185.7927735,264.8034177,275.2262264,164.05506,135.5081513,153.7553319,268.1243043,333.9908746,275.386564,250.2925003,244.9232252,285.4691882
Taf11,1048.238241,1192.737428,1117.505853,860.8662429,787.7540532,881.5305697,961.4710968,963.5276312,636.7363371,1064.853892,1290.889469,851.1210981
Cyp4e3,302.7734087,325.3940303,124.9439695,4870.913123,2014.554517,2695.843487,6031.663927,2073.626797,297.4479185,3357.473954,2171.172355,1282.849191
Nckx30C,22.93737945,16.8307257,72.51992633,15.22160351,65.04391265,10.25035546,27.94535002,40.04686746,244.9571094,26.65837282,34.5773965,35.24310965
bib,104.3650765,180.6497892,100.479416,93.02091034,99.37264432,99.94096575,226.5839191,181.8127783,262.4540458,118.481657,108.0543641,158.5939934
Ndf,11164.76944,10838.98735,14046.14862,8476.741866,9653.600702,8377.103001,8717.438648,9974.072811,12084.29715,7347.343753,5395.514579,7466.25278
Trp1,20851.22478,20717.50129,23559.36498,15735.75545,18707.35199,17018.15266,16852.55662,18083.56347,15315.14449,14589.53503,13012.62688,12581.79015
CG13127,0,0,0,0,0,0,371.5976273,362.8246192,530.9939824,235.4822932,305.4336691,347.1446301
obst-B,431.2227336,602.5399802,267.36262,358.5533271,177.0639844,312.6358416,276.4323813,289.9393204,227.460173,207.3428997,322.7223674,96.91855155
Cpr31A,30.96546225,5.610241901,8.737340522,10.14773567,10.84065211,10.25035546,32.47702841,31.23655662,67.70553644,11.8481657,69.15479301,21.14586579
Spn31A,18.34990356,31.41735465,33.20189398,10.14773567,36.13550703,10.25035546,23.41367164,27.23186988,26.62577276,20.73428997,40.34029592,0
CG4839,1044.797634,554.2918998,1000.42549,314.5798059,346.9008675,261.3840643,565.704518,568.665518,1083.288583,297.6851631,335.6888911,281.9448772
CG13137,0,0,0,0,0,0,259.8162272,223.4615204,255.6074185,211.7859618,288.1449709,207.934347
RpL7,125078.677,138118.5454,151840.9985,250628.7757,254240.3936,282012.9046,83681.21773,98216.54433,76041.68553,197226.0472,222694.2815,218010.352
CG4901,1823.521666,1694.293054,2009.58832,1172.06347,1201.505609,868.7176254,1428.98925,1711.603115,1783.926775,1152.234114,1040.203345,1175.357707
Bcs1,441.5445543,472.3823681,806.4565302,218.176317,191.5181872,117.8790878,339.1205989,342.0002481,568.2700643,198.4567754,185.8535062,225.5559018
eEF1delta,44266.84859,48582.45077,56794.46086,33166.18276,40748.2045,42802.92182,26581.31483,33753.90271,30691.90863,26504.34666,27977.43595,30088.80487
ova,1574.651099,1766.10415,1827.851637,1469.730383,1477.942237,1632.369107,1526.420335,1549.813771,1413.448165,1603.945431,1315.381792,1286.373502
CG5708,1213.387373,1653.899312,1644.367486,1598.268369,1355.081513,1619.556163,1745.451457,1673.158123,1614.282566,2165.252281,2280.667444,1728.674529
Npc1a,6789.464316,6083.746317,5002.127449,9366.360026,8779.121432,8387.353357,7195.549991,6594.117197,7131.142681,7890.878354,6867.93538,8010.758824
CG5727,520.6785134,646.299867,458.7103774,1006.317121,775.1066257,776.4644263,1220.532044,1193.39665,1053.619865,1609.869514,1694.292429,1533.07527
CG5731,47.02162786,74.05519309,27.95948967,67.65157115,52.39648519,51.25177731,56.64597978,50.459053,36.5153455,44.43062136,57.62899417,38.76742062
Snx17,2985.299935,2946.499046,2837.014468,5378.299907,5263.136598,4861.231078,2830.788429,2665.519498,2206.896194,4798.507107,4234.290347,4153.400473
Ripalpha,274.1016844,283.8782402,345.1249506,400.8355591,390.2634759,369.0127966,692.5915127,693.6117445,894.6259647,832.3336402,965.2856524,851.1210981
Sur,309.6546225,100.9843542,344.2512166,71.03414971,43.36260843,82.0028437,127.6422744,181.0118409,349.1779913,85.8992013,131.1059617,40.5295761
Fum4,4.587475889,0,9.611074574,6.765157115,0,0,860.2636129,643.1526915,893.104492,549.4586842,780.872871,444.0631816
CG13135,0,0,0,3.382578558,0,0,3.021118921,0,1.521472729,0,2.881449709,3.524310965
CG13133,0,0,0,0,0,0,1.510559461,0,1.521472729,0,2.881449709,0
CG13131,0,0,2.621202157,13.53031423,14.45420281,0,780.9592412,495.7802192,1128.932765,417.6478408,425.013832,669.6190834
SoYb,47.02162786,70.68904795,60.2876496,38.89965341,36.13550703,30.75106639,108.0050014,135.358412,239.6319548,74.0510356,97.96929009,111.0157954
CG31875,69.95900731,71.81109633,105.7218203,126.8466959,166.2233323,151.1927431,325.5255638,271.5177614,361.3497732,282.874956,286.704246,394.7228281
lncRNA:CR13130,0,0,1.747468104,0,3.613550703,0,1.510559461,1.601874699,3.042945458,0,2.881449709,14.09724386
me31B,7697.784542,9232.214072,9279.929369,9002.732831,9368.130197,10678.3078,8341.309342,8754.245228,8672.394556,9374.861108,9343.10068,9300.656638
CG31717,2864.878693,3048.605449,2817.792318,3813.857324,3646.072659,4169.332084,3220.51277,2894.58758,2198.528094,4025.414295,4843.71696,4190.405738
Ror,30.96546225,104.3504994,69.02499012,33.82578558,39.74905773,33.31365525,83.08077034,125.7471638,172.6871547,106.6334913,131.1059617,105.729329
CG4953,818.8644462,901.0048493,906.9359462,1060.438378,874.47927,999.4096575,804.3729128,788.1223517,647.3866462,903.4226344,871.6385369,902.2236071
CG4957,943.8731642,1050.237284,1609.418124,514.1519408,489.6361202,571.457317,886.6984035,945.1060721,1112.957301,590.9272641,649.7669093,620.2787299
CG4968,2804.094637,3360.534899,2877.206234,4042.181376,3864.692476,4274.398228,4990.133179,4932.973134,4368.908942,5647.131975,6974.54902,6091.771504
CG4972,6068.083732,5623.706482,7112.195185,5214.244847,5991.267065,5663.321393,5330.764337,5924.533573,6416.811235,5345.00375,5264.408618,4741.960404
CG4995,2905.019107,2333.860631,4142.373142,1857.035628,2601.756506,2413.958711,2993.173571,2830.512592,3513.841268,2511.811128,3032.725818,2385.958524
Cox10,2153.81993,1927.679117,3359.507431,717.1066542,932.2960813,958.4082357,1841.371983,2173.743966,2826.135594,1165.5633,1213.090327,1235.270993
GATAd,1188.156255,1128.78067,1249.439695,1415.609126,1060.577131,1542.678497,1754.514814,1585.055014,2233.521966,1786.110979,1521.405446,1890.792833
SamDC,4561.097903,5016.678308,6693.676574,8361.734195,7570.388722,8254.098736,4278.659673,4101.600166,3729.129659,4563.024814,4278.952817,4410.675173
CG31715,4042.713127,4898.863228,4244.600026,4216.384172,4303.738887,6252.716832,3659.330294,3681.908995,2744.736803,5247.256383,6545.213013,5786.918605
Sps2,2617.154995,2862.345418,3217.08878,2281.549237,2460.828029,2062.884037,1988.65153,2200.975836,2279.926885,1823.136497,1808.109692,1799.160748
CG5022,27.52485533,42.63783845,22.71708536,40.59094269,36.13550703,5.125177731,57.40125951,83.29748432,139.9754911,63.68389062,63.39189359,17.62155483
ClpP,6404.116341,7109.298537,7901.177034,8121.571117,8197.339769,8313.03828,6549.785822,6816.77778,6381.056626,7884.954271,9112.584703,8611.653844
pim,66.51840039,163.8190635,115.3328949,84.56446394,75.88456476,107.6287324,624.616337,579.8786409,656.5154826,493.1798971,697.3108295,456.39827
lft,277.5422913,317.5396916,196.5901617,199.5721349,271.0163027,146.0675653,172.2037785,234.6746433,155.9509547,130.3298227,195.9385802,84.58346317
CG5056,834.9206118,1072.678251,895.5774035,1281.997273,1215.959811,1255.668544,1536.994251,1430.474106,1254.454265,1920.883864,1957.945077,1795.636437
dpr19,13.76242767,13.46458056,21.84335131,25.36933918,21.68130422,15.37553319,12.08447569,22.42624578,51.73007279,0,11.52579883,24.67017676
gny,1293.668201,1417.147104,1296.621333,1349.648845,1439.999955,1245.418189,1134.430155,1192.595713,883.2149192,1189.259632,847.1462143,1000.904314
CG5096,2533.43356,1254.450089,961.9811915,510.7693622,1058.770356,630.3968609,935.7915859,917.0732649,662.6013735,589.4462434,766.4656225,410.5822275
mRpS7,3272.017178,3574.846139,4739.133499,2821.070517,2585.495528,3305.739637,2913.8692,3348.719057,3116.736885,3749.944443,4178.102077,3795.68291
Cnot4,6816.989171,6978.018876,6107.401025,8831.912614,8372.596978,8036.278682,7508.991079,6735.08217,6568.197771,8373.691106,7324.645159,7534.976844
Ir31a,2.293737945,0,0.873734052,0,0,0,5.286958113,0,7.607363645,2.962041424,0,0
RpS27A,135202.0894,157018.3283,163831.2509,187413.4563,183917.0833,209299.4456,90871.48076,108293.1371,80167.91957,165261.1772,220897.6976,172791.6802
Ip259,16173.14625,17585.86426,20660.3154,11509.22354,10930.99088,11803.28431,12175.10925,12951.15694,11067.95337,10950.66715,13390.0968,10740.33767
Klp31E,847.5361705,784.3118178,980.3296066,906.5310535,834.7302123,750.8385376,932.770467,981.9491902,1304.662865,952.2963179,799.6022941,1006.190781
RfC3,435.8102095,512.7761097,571.4220701,351.78817,442.6599611,233.1955868,570.2361964,681.5976842,567.5093279,460.5974415,492.7279002,426.4416268
Wdfy2,6595.643459,6837.762829,6340.688017,8760.878464,8791.76886,8805.055342,6525.61687,6474.777532,5462.847834,7766.472614,8275.523563,7145.540482
CG5188,1048.238241,1145.611396,1312.348546,1559.368715,1290.037601,1542.678497,861.7741723,996.3660625,904.5155374,1041.157561,1262.074972,1200.027884
TfIIB,2083.860923,2276.636163,2283.940812,1972.043299,2133.80169,2201.263835,3231.086687,3261.416886,3499.387277,3193.080655,3368.414709,3254.701177
holn1,1117.050379,1261.182379,1155.076417,1106.103188,1206.925935,1176.228289,1805.118556,1695.584368,1851.632311,1814.250372,2215.834826,1931.322409
STUB1,1955.411598,2701.8925,2319.763909,2772.023128,2471.668681,2665.09242,2841.362346,2664.718561,2399.362494,3256.764546,3500.961396,3203.598668
